product_name,photo_url,barcode,price_cents,sku (unique id),producer
Tea - Camomele,http://dummyimage.com/237x192.png/ff4444/ffffff,V8822,71127,0285b967-261a-4a95-a21c-5c797ac7c0a2,McLaughlin-Bosco
Eggroll,http://dummyimage.com/103x112.bmp/cc0000/ffffff,99689,94899,0d9803c2-d16d-4f38-826c-f9869f619166,"Weber, Cremin and Hermiston"
"Lid - High Heat, Super Clear",http://dummyimage.com/163x140.jpg/dddddd/000000,E8013,89271,049d0c34-238c-47b0-ab49-154a37fbd163,Gislason LLC
"Chicken - Breast, 5 - 7 Oz",http://dummyimage.com/119x191.bmp/5fa2dd/ffffff,60499,27505,d7c3fed8-600c-4ec0-8261-909199741831,Weimann-Grady
Puree - Blackcurrant,http://dummyimage.com/137x139.jpg/dddddd/000000,V454,2425,be4c0300-251e-4f6c-bf2c-a18f02435c29,Hyatt-Jacobson
"Sauce - Apple, Unsweetened",http://dummyimage.com/100x159.jpg/5fa2dd/ffffff,5299,59489,8e17edc7-3021-4c22-a449-2cc3cbabdb45,Strosin Inc
Cabbage - Red,http://dummyimage.com/244x219.bmp/5fa2dd/ffffff,64621,8989,e38615c5-aa0f-4a29-85e8-075d9316c5a6,"Lesch, Hoeger and Senger"
Green Scrubbie Pad H.duty,http://dummyimage.com/138x166.bmp/cc0000/ffffff,64690,75466,9a5468bb-8041-4b8a-95e3-87a4d5141728,"Nienow, Carroll and Stroman"
Iced Tea Concentrate,,96979,46221,48aa5add-702b-4259-b749-fd9b5063bbfd,
Bread Fig And Almond,http://dummyimage.com/117x146.jpg/cc0000/ffffff,43390,29995,3bb8e144-65a6-4c88-b24c-97d887420b7d,Schroeder-Reichel
"Rum - Spiced, Captain Morgan",http://dummyimage.com/229x128.png/5fa2dd/ffffff,5853,65970,133cf42b-68a2-4005-8add-6c71b02ad144,Jacobson Group
Wine - Montecillo Rioja Crianza,,28803,55627,c29b4d97-7051-420b-aebe-ad8ef685331d,
Sprouts - Brussel,http://dummyimage.com/130x217.bmp/5fa2dd/ffffff,85310,41268,9c8b4d51-c9de-4407-8d69-2d1342557f3f,Boehm LLC
"Nut - Pecan, Halves",http://dummyimage.com/132x130.jpg/dddddd/000000,35981,20775,8a5f1acc-75df-4003-91d3-7bc1ebb4712e,Zulauf and Sons
Pecan Raisin - Tarts,http://dummyimage.com/202x166.bmp/dddddd/000000,80629,91722,2d276e84-bd32-4d06-a214-753cc4397a13,Will-Franecki
Spring Roll Veg Mini,http://dummyimage.com/130x129.png/5fa2dd/ffffff,84501,46969,30e9d16c-afbe-431b-835a-01109eee95de,"Koch, Bayer and Erdman"
Bread Crumbs - Japanese Style,http://dummyimage.com/197x207.bmp/5fa2dd/ffffff,E8258,20024,9ca40a95-dc7a-49d7-bd9b-6b23f0e018fb,"Wisozk, Stracke and Franecki"
Beans - Fine,http://dummyimage.com/119x181.png/cc0000/ffffff,V554,7314,5b9809e0-24ec-4a2c-94b4-a02411e87c45,Quigley-Cremin
Chocolate - Liqueur Cups With Foil,,36460,45899,b456faea-5e41-45ab-823e-36c3e2bd7a94,
Syrup - Monin - Passion Fruit,http://dummyimage.com/136x129.jpg/ff4444/ffffff,9953,86375,94ce1327-0032-4397-8bfe-25e046e2c09c,"Krajcik, Turner and Schowalter"
Longos - Penne With Pesto,http://dummyimage.com/224x105.bmp/ff4444/ffffff,7272,65638,ef94e9a5-2e8c-4dfe-9985-6c9b85a4d2f3,Lueilwitz-Anderson
"Cod - Salted, Boneless",http://dummyimage.com/138x140.jpg/5fa2dd/ffffff,E856,2859,28bcb6af-1a91-47d4-9001-4f2ebf00e4dd,Bogan-Greenholt
Dry Ice,,29010,91645,6c2a2f60-8a5a-4159-bf10-769a4d2198e4,
Juice - Orange,,9084,45501,47ad6287-7d42-46a9-b6e6-6824412b2358,
Mini - Vol Au Vents,http://dummyimage.com/153x128.jpg/dddddd/000000,74310,46798,6598f0ea-0655-4d23-bf0a-65db938c1d67,Reynolds-Lemke
Spic And Span All Purpose,http://dummyimage.com/130x103.png/dddddd/000000,85209,36068,049304c5-c693-4177-99ce-e90d9a592c14,Champlin Group
Jello - Assorted,http://dummyimage.com/240x103.bmp/5fa2dd/ffffff,63622,92660,b34ee626-d40b-49a7-b0bb-a0e3673013e4,"Medhurst, Yundt and Casper"
Syrup - Chocolate,http://dummyimage.com/167x110.png/cc0000/ffffff,E8844,51190,cc4c2d01-eb79-4b83-b915-a8f825a13ef4,"Conroy, Kemmer and Koepp"
Basil - Pesto Sauce,http://dummyimage.com/188x240.bmp/5fa2dd/ffffff,6386,91832,f5896742-eb19-4cca-9297-a2330b6291a6,Cummerata LLC
Capers - Pickled,http://dummyimage.com/102x191.bmp/dddddd/000000,7856,37961,bf8138a0-69ca-450b-894c-7a9cff721104,Padberg-Abshire
Cauliflower,http://dummyimage.com/200x181.bmp/ff4444/ffffff,V1361,79585,729cc1f3-2091-409a-b56f-d4c1b9197921,"Rowe, Rosenbaum and Kuhlman"
Juice - Propel Sport,http://dummyimage.com/186x183.jpg/cc0000/ffffff,37943,8555,337280be-a925-4b40-b17a-09ab77c134e0,Cummings-Tillman
Juice - Apple 284ml,http://dummyimage.com/148x152.bmp/dddddd/000000,64873,60301,558f4c3e-db91-492e-a68e-e8b5afec069f,"Buckridge, Ernser and Watsica"
French Pastry - Mini Chocolate,http://dummyimage.com/156x175.jpg/cc0000/ffffff,73712,5047,a8535a67-fe89-4b44-bee0-c8dda5677257,"Orn, Emard and Nolan"
Beer - Guiness,http://dummyimage.com/139x112.bmp/5fa2dd/ffffff,80484,82400,0cbb135f-5cf1-4317-a616-3bfc56a4662e,"Runte, Renner and Okuneva"
Bonito Flakes - Toku Katsuo,http://dummyimage.com/130x174.jpg/ff4444/ffffff,52463,39741,0e99710f-7b35-41cf-9050-85a2d51c6c14,Moore Group
Oil - Sunflower,http://dummyimage.com/190x167.bmp/5fa2dd/ffffff,64201,81661,f2a8526e-54ce-4885-8d8c-fc6dc55dd71d,Bosco Group
"Juice - Clam, 46 Oz",,9465,85811,379b21d8-da07-481b-bc17-452ff014c4c2,
Crab - Soft Shell,http://dummyimage.com/128x238.bmp/dddddd/000000,38635,66860,ca85df8c-ff76-4c08-8965-1137a5c8f056,"Luettgen, Altenwerth and Satterfield"
"Jam - Strawberry, 20 Ml Jar",http://dummyimage.com/141x202.bmp/dddddd/000000,22381,19951,a7b3b6c9-05dc-4884-9946-c9215bc3b0e4,"Daniel, Reichert and Cormier"
Carroway Seed,http://dummyimage.com/247x199.bmp/ff4444/ffffff,20880,15882,58b18288-ff56-4ba7-a656-28b2815ff65a,"Bernhard, Emmerich and Willms"
Bread - Multigrain,http://dummyimage.com/172x209.jpg/ff4444/ffffff,8798,4071,8f7b4bdb-acef-450f-b5ef-e5080e2b2be9,Tillman-Erdman
"Vermouth - White, Cinzano",http://dummyimage.com/109x135.bmp/5fa2dd/ffffff,37040,78210,b9596bfa-9cb4-422e-a771-56629b8033f3,Rosenbaum-Gutmann
Extract - Raspberry,http://dummyimage.com/168x225.jpg/cc0000/ffffff,04183,50942,bac48594-33ac-4128-9a58-f76f5d395f14,"Zboncak, Reinger and Beer"
Muffin Batt - Carrot Spice,http://dummyimage.com/211x234.png/cc0000/ffffff,E9466,3393,46d3731c-0e9d-4fb1-b151-00ba51964f6a,"Farrell, Jacobs and Robel"
"Mushroom - Porcini, Dry",http://dummyimage.com/151x246.bmp/cc0000/ffffff,3124,94760,0a7d14ce-44c0-425e-a995-bfaf75919694,White-Romaguera
"Beans - Kidney, Canned",,72882,48938,1e2dbbbf-d1cc-4b03-a7c1-7c1b12c7356a,
Wine - Two Oceans Cabernet,http://dummyimage.com/115x186.bmp/dddddd/000000,V780,33749,657e63b9-bd6d-4a40-be27-bf362a06416b,"Bode, Von and Hirthe"
"Mushrooms - Black, Dried",http://dummyimage.com/216x218.bmp/dddddd/000000,82019,85134,5c568f29-481c-420f-8ca3-70bda8aa19cc,Muller-Reinger
Muffin - Mix - Mango Sour Cherry,,4838,20337,5e7b5e78-e00e-496e-a06a-d5214e051f59,
"Rum - Spiced, Captain Morgan",,0990,51750,12a67d40-7625-4d50-b092-ab4cd79113f6,
Cup - Paper 10oz 92959,http://dummyimage.com/177x211.png/dddddd/000000,2158,40663,41addeea-b5db-4fcb-a47c-63cd8fb8e23a,Emmerich Group
Puree - Passion Fruit,http://dummyimage.com/167x200.jpg/cc0000/ffffff,20241,57547,b7d57c2b-72ba-4936-a570-e5b956f614dc,Bashirian-Morar
Lemonade - Pineapple Passion,http://dummyimage.com/232x197.jpg/5fa2dd/ffffff,76508,32658,a726273f-1af0-491e-8d85-6acc457042a1,Hauck Inc
Pastry - Butterscotch Baked,http://dummyimage.com/207x177.png/ff4444/ffffff,7210,21968,b57c95a5-50c5-4bdf-84c1-c8cf7b799a0e,Leuschke Group
Rambutan,http://dummyimage.com/190x214.png/ff4444/ffffff,V180,69333,5ff2fc2f-3324-47ff-b23b-442859f3c787,Prosacco-Okuneva
Chicken Giblets,http://dummyimage.com/168x240.jpg/cc0000/ffffff,E8584,54599,5dac87e5-c267-4a16-a6c0-57e52aa862f9,Reilly Group
"Rum - Dark, Bacardi, Black",http://dummyimage.com/245x221.png/5fa2dd/ffffff,3521,10892,4ead87b9-bb19-46f8-82bc-a465ccc75d78,Feest-Koss
Triple Sec - Mcguinness,http://dummyimage.com/130x149.png/dddddd/000000,20892,74554,3f988593-3124-4232-85fa-143ceba5fccc,Towne-Connelly
Cheese - Fontina,http://dummyimage.com/121x101.bmp/5fa2dd/ffffff,V744,72089,ad1d576e-9943-4b96-b1e9-7bde5150b392,Schumm and Sons
Bagel - Everything Presliced,,94332,9120,3d9bf6be-f1f6-4810-a355-ed8eb833c8c5,
Bread - Burger,http://dummyimage.com/198x125.png/ff4444/ffffff,80304,16002,c3aa034c-c02b-4e19-a99e-5a465bacf5b5,"Effertz, Wolff and Zulauf"
Beef - Short Ribs,http://dummyimage.com/181x119.bmp/cc0000/ffffff,2300,84679,3fadc89d-e586-490e-a94a-62252bb433ed,"Hodkiewicz, Kulas and O'Reilly"
Danishes - Mini Cheese,http://dummyimage.com/237x122.png/ff4444/ffffff,01526,18842,c0edbee8-8e19-4a39-a0fa-43b976a6dc17,Keeling-Blanda
Venison - Liver,http://dummyimage.com/161x170.jpg/5fa2dd/ffffff,E0132,83534,ce1ebec5-5b83-452c-aa93-a9dcf8e34670,Herman-Kemmer
Chevere Logs,http://dummyimage.com/162x184.jpg/dddddd/000000,2811,94731,178882c7-df38-40a8-81dc-810b22d16632,"Deckow, Flatley and Berge"
Hog / Sausage Casing - Pork,http://dummyimage.com/129x131.jpg/ff4444/ffffff,27904,88732,d5784e08-72a3-4bcc-bd31-1c3c6c17ab5f,DuBuque Group
"Tomatoes - Vine Ripe, Red",http://dummyimage.com/130x163.jpg/5fa2dd/ffffff,E8318,78769,7cb858db-fde6-4ec6-91b5-8b63f41f1971,Muller-O'Kon
Appetizer - Cheese Bites,http://dummyimage.com/131x180.jpg/dddddd/000000,7280,46992,2ae6d5d9-4366-4f24-b085-386791ca7016,Mertz-Mosciski
Crab Meat Claw Pasteurise,http://dummyimage.com/234x164.png/cc0000/ffffff,66574,8331,5769ae99-9548-434d-9b6f-6f361b40c0bd,"Hoppe, Kassulke and Brown"
Nut - Pumpkin Seeds,,52333,87978,aca9d81a-6173-4ed4-bc9f-297bb786c26f,
Grapefruit - Pink,,72972,44777,d36bdcd0-0860-4a81-99ac-255c6ef22535,
Beer - Upper Canada Lager,http://dummyimage.com/200x180.png/5fa2dd/ffffff,38633,14427,dae7e6c4-745e-47d5-948c-b83d25a22343,Yundt and Sons
Wine - Magnotta - Cab Sauv,http://dummyimage.com/249x219.png/dddddd/000000,V593,68960,2e02abe4-1a21-48d9-a184-2b57caec0a17,Schiller LLC
Beer - Heinekin,http://dummyimage.com/106x239.jpg/dddddd/000000,E9528,75218,1e5338cd-b756-472a-9792-f4296c70f4dd,Jaskolski-Schoen
Blueberries - Frozen,http://dummyimage.com/100x208.bmp/dddddd/000000,94128,36412,3c5bb449-6c2f-437b-81d3-4345ef0cd16e,Becker Inc
Shrimp - Tiger 21/25,http://dummyimage.com/138x147.jpg/5fa2dd/ffffff,83930,95692,6b72d825-b918-4760-92cc-7fc4d05bc62e,Erdman-Bechtelar
Wine - Barbera Alba Doc 2001,,9670,1350,abed4bda-00f6-4f6f-9e06-292ba3cdaf23,
Ice Cream - Strawberry,http://dummyimage.com/236x207.png/dddddd/000000,E8299,29137,08bddf65-2f5d-4fd0-be4d-c06d041ed31e,Feest LLC
Flour Pastry Super Fine,,E8346,85388,b81bdcdc-3a26-4b54-82ea-62ee036d93b4,
Peach - Fresh,http://dummyimage.com/179x151.jpg/cc0000/ffffff,37723,65624,12f5f6c0-bb29-427d-84ad-bd85c7a54f7e,"Donnelly, Emard and Gleason"
"Sprite, Diet - 355ml",http://dummyimage.com/145x114.bmp/cc0000/ffffff,86353,54087,643298da-c873-4bf1-8b23-9156f4feb99a,"Leffler, Cummerata and Miller"
Scallops - In Shell,http://dummyimage.com/166x152.jpg/dddddd/000000,71187,23691,f7808ff4-6a34-46d5-8c6e-265ee1ec28f8,"Monahan, Schroeder and Pouros"
Wine - Bouchard La Vignee Pinot,http://dummyimage.com/148x146.png/ff4444/ffffff,64120,65570,c6365dcc-4436-4993-b67d-6cb9e77e509a,Gottlieb-Mann
Langers - Mango Nectar,,5760,48067,8198e7d3-516e-41b4-921a-db5768e46245,
Eggwhite Frozen,http://dummyimage.com/140x177.jpg/5fa2dd/ffffff,0519,38786,519f826d-65b8-480b-b4a7-814173dce7d9,"Beier, O'Keefe and Wisoky"
Wine - Crozes Hermitage E.,http://dummyimage.com/187x113.bmp/5fa2dd/ffffff,37955,94960,37561487-4e5d-41df-a4f1-91d727f99fce,"Miller, Hintz and Reinger"
Beans - Kidney White,,80620,58295,4007c41c-3abf-4805-9ac7-f8f62803bc98,
Eggroll,,01302,90399,3e0e5cf8-7e5b-4ea4-be36-fa62c31df4c9,
Lamb - Shanks,,37481,25899,038a2348-7dbb-4253-a92b-0382dd8338b7,
Soup - Campbells Mushroom,http://dummyimage.com/189x130.bmp/dddddd/000000,79511,82992,03485572-4a2b-401f-9b80-3b1b25a984ee,Conroy Group
"Pepper - Green, Chili",http://dummyimage.com/241x226.bmp/ff4444/ffffff,5261,83736,bd20dd68-08c5-4a36-918e-832fa9381150,Prohaska and Sons
Chicken - White Meat With Tender,,64671,19387,1560d63f-b40d-491b-b0c5-6492e6277540,
Lid - 0090 Clear,http://dummyimage.com/212x161.bmp/dddddd/000000,3769,22081,17f333cb-1bf4-4253-9ee0-3876a598e93d,Hegmann Inc
Table Cloth 62x120 Colour,http://dummyimage.com/231x163.png/5fa2dd/ffffff,28249,11858,c7531461-a5f1-4ed6-8d66-ad61c65bed06,Jacobi-Hettinger
Beef - Salted,http://dummyimage.com/239x195.png/ff4444/ffffff,9012,86640,fe47bf23-bd75-4f26-b2f9-cdde84308a61,Green-Quigley
